Unnamed: 0,music,hastag_data,author_follower,author_heart,play
383,206,0,340600,9900000,77100
384,384,0,23800,279700,13100
385,272,0,397500,6600000,2600000
386,486,0,176300,3100000,5300000
387,163,0,144100,3200000,20900
388,318,0,397500,6600000,119900
389,176,0,176300,3100000,4900000
390,42,0,536900,8100000,781100
391,151,0,102400,876100,12200
392,227,0,102000,709900,312400
393,21,0,44600,334500,2739
394,327,0,169200,5600000,2931
395,469,0,644100,10100000,408000
396,191,0,169200,5600000,27200
397,176,0,101900,1400000,105500
398,218,0,493800,15300000,44300
399,184,0,340600,9900000,73500
400,495,0,41000,792600,277600
401,151,0,63200,623300,14300
402,214,0,248700,2900000,15800
403,358,0,965500,29900000,76800
404,458,0,536900,8100000,134100
405,244,0,131200,1800000,24900
406,272,0,33400,816200,475500
407,77,0,900400,14200000,8457
408,151,0,11900,135100,17600
409,22,0,23500,602900,14400
410,176,0,750700,20300000,72600
411,183,0,47500,496600,79900
412,219,0,67600,2400000,455500
413,249,0,307700,912300,124700
414,18,0,87800,2200000,81800
415,231,0,327900,9800000,265700
416,2,0,102400,876100,77100
417,237,0,45100,865300,262500
418,191,0,144100,3200000,19600
419,398,0,501500,15300000,3700000
420,201,0,11300,151000,13400
421,151,0,48000,704100,312300
422,217,0,57400,444900,13100
423,272,0,900400,14200000,7591
424,191,0,57400,444900,2281
425,77,0,900400,14200000,9595
426,9,0,218400,7800000,94500
427,165,0,699800,18700000,18300
428,124,0,131200,1800000,23100
429,201,0,52400,1100000,15400
430,237,0,131200,1800000,24500
431,193,0,47500,496600,39900
432,238,0,493800,15300000,10400000
433,151,0,101900,1400000,32400
434,333,0,248700,2900000,5758
435,527,0,57400,444900,667100
436,316,0,699800,18700000,123500
437,195,0,327900,9800000,8344
438,137,0,906400,11400000,25900
439,221,0,750700,20300000,172300
440,173,0,501500,15300000,16900
441,85,0,282700,2100000,6360
442,58,0,169200,5600000,3938
443,108,0,67600,2400000,5165
444,42,0,536900,8100000,688100
445,229,0,493800,15300000,42700
446,142,0,493800,15300000,1600000
447,163,0,13100,149600,28000
448,478,0,900400,14200000,35300
449,124,0,19100,233600,30000
450,427,0,67600,2400000,17300
451,42,0,536900,8100000,720900
452,249,0,282700,2100000,18000
453,254,0,976100,18900000,864400
454,176,0,493800,15300000,273000
455,247,0,102400,876100,32300
456,398,0,501500,15300000,35100
457,427,0,67600,2400000,40400
458,224,0,340600,9900000,630000
459,191,0,144100,3200000,4859
460,38,0,47500,496600,4647
461,43,0,19300,321300,15100
462,397,0,101900,1400000,236300
463,100,0,190100,4700000,67200
464,146,0,327900,9800000,10400
465,200,0,340600,9900000,20400
466,90,0,1000000,10400000,3100000
467,334,0,43500,349600,2400000
468,469,0,644100,10100000,2500000
469,452,0,5051,677400,1100000
470,448,0,900400,14200000,3500000
471,507,0,20900,425300,889500
472,353,0,310300,6800000,1600000
473,316,5,553500,10300000,29700000
474,316,5,1200000,41900000,25800000
475,263,5,4900000,61000000,19600000
476,177,5,150300,4300000,28100000
477,261,5,2000000,53500000,15500000
478,248,5,98400,3200000,26700000
479,211,5,243300,6200000,11800000
480,427,5,779900,10700000,19800000
481,316,5,1200000,41900000,16100000
482,101,5,113500,2600000,13200000
483,272,6,109500,2200000,95800
484,28,6,109500,2200000,11600
