,music,hastag_data,author_follower,author_heart,play
124,original sound - Tasya Revina,komentarnetizen,4700000,161800000,2600000
125,original sound - Olivia_aten,komentarnetizen,424800,6900000,3900000
126,original sound - kevin nobel,komentarnetizen,2000000,61900000,582800
127,original sound - Anne Ardina S,komentarnetizen,1800000,14200000,401000
128,Cutie,komentarnetizen,472400,5700000,366500
129,original sound - alexanderfortune,komentarnetizen,53900,559100,275900
130,original sound - ciA,komentarnetizen,3500000,313300000,412600
131,original sound - Clint,komentarnetizen,77400,1400000,204200
132,original sound - dr. Ika,komentarnetizen,748800,10900000,1600000
133,original sound - Utari Hues,komentarnetizen,191200,1500000,172600
134,original sound - Michelle Christo,komentarnetizen,207200,1100000,189400
135,original sound - rianindraputra,komentarnetizen,1900000,28900000,368800
136,original sound - anna,komentarnetizen,523600,6100000,265000
137,original sound - alvanoricky,komentarnetizen,1400000,35100000,319100
138,original sound - Kellycourtneyy,komentarnetizen,2100000,40600000,153800
139,Bad Liar Now the day bleeds,komentarnetizen,28600,1100000,94400
140,God is good,komentarnetizen,1400000,64200000,8300000
141,"In My Mind, We Are Lovers",komentarnetizen,2300000,56400000,10900000
142,original sound - teresa🐻,komentarnetizen,2300000,56400000,6500000
143,original sound - Kusdifrans,komentarnetizen,798000,22300000,6600000
144,original sound - Theo Bechet,komentarnetizen,821700,14000000,8600000
145,Run 2 U (Remix),komentarnetizen,3000000,121700000,10500000
146,original sound - teresa🐻,komentarnetizen,2300000,56400000,5600000
147,original sound - Indira Kalistha,komentarnetizen,2300000,56400000,5100000
148,suara asli - Irene Merani,komentarnetizen,163500,3000000,3700000
149,original sound - Eh Ojannn la 👑,cekpinkomentar,1665,123200,1100000
150,suara asli,cekpinkomentar,6026,199900,594200
151,suara asli - Rudizx,cekpinkomentar,20900,830500,859800
152,original sound - SILUET,cekpinkomentar,18300,916200,573100
153,suara asli,cekpinkomentar,959,84200,581300
154,original sound - Wisy 🤡,cekpinkomentar,4944,779000,510200
155,suara asli,cekpinkomentar,33800,235400,386500
156,suara asli,cekpinkomentar,20900,207100,625900
157,suara asli,cekpinkomentar,2320,225900,425000
158,suara asli - OSKADONE🗿🥀,cekpinkomentar,3833,52000,455300
159,original sound - Atop art29,brandatiktok,634300,8000000,10700000
160,chain hang low DJ HOLY,brandatiktok,165900,1000000,6600000
161,original sound,brandatiktok,120800,722400,7400000
162,Mabok Janda Remix,brandatiktok,5100000,111400000,2800000
163,Toxic by BoyWithUke,brandatiktok,8176,384700,2500000
164,Malam minggu,brandatiktok,167800,13200000,2000000
